generation,best_fitness
1,458.57767651868085
2,458.57767651868085
3,429.45947579461927
4,337.71599017921994
5,337.71599017921994
6,337.71599017921994
7,337.71599017921994
8,337.71599017921994
9,337.71599017921994
10,337.71599017921994
11,337.71599017921994
12,337.71599017921994
13,337.71599017921994
14,337.71599017921994
15,337.71599017921994
16,337.71599017921994
17,337.71599017921994
18,337.71599017921994
19,337.71599017921994
20,337.71599017921994
21,337.71599017921994
22,337.71599017921994
23,333.66805694646547
24,333.66805694646547
25,330.557249253045
26,330.557249253045
27,330.557249253045
28,330.557249253045
29,330.557249253045
30,330.557249253045
31,330.557249253045
32,330.557249253045
33,330.557249253045
34,330.557249253045
35,330.5572492530449
36,330.5572492530449
37,330.5572492530449
38,330.5572492530449
39,330.5572492530449
40,330.5572492530449
41,330.5572492530449
42,330.5572492530449
43,330.5572492530449
44,330.5572492530449
45,330.5572492530449
46,330.5572492530449
47,330.5572492530449
48,330.5572492530449
49,330.5572492530449
50,330.5572492530449
51,330.5572492530449
52,330.5572492530449
53,330.5572492530449
54,330.5572492530449
55,330.5572492530449
56,330.5572492530449
57,330.5572492530449
58,330.5572492530449
59,330.5572492530449
60,330.5572492530449
61,330.5572492530449
